Alarm.Date,Incident.Type,Estimated.Property.Loss,Estimated.Content.Loss,District,Zip,Property.Use,Total.loss,Fire
12-11-2020,111,20000,5000,12,2131,419,25000,1
12-12-2020,131,5000,0,12,2136,960,5000,1
12/14/2020,131,6000,1000,7,2122,962,7000,1
12/14/2020,111,50000,5000,8,2126,429,55000,1
12/14/2020,111,175000,75000,4,2215,400,250000,1
12/15/2020,113,3000,4000,11,2135,400,7000,1
12/15/2020,131,25000,0,8,2126,962,25000,1
12/15/2020,113,2000,2000,11,2135,429,4000,1
12/16/2020,111,150000,50000,9,2130,419,200000,1
12/16/2020,161,5000,0,7,2121,900,5000,1
12/16/2020,161,1000,0,7,2121,900,1000,1
12/18/2020,111,250000,250000,8,2122,519,500000,1
12/19/2020,111,1000,0,8,2124,429,1000,1
12/20/2020,113,500,0,12,2131,419,500,1
12/21/2020,113,4000,2000,9,2120,429,6000,1
12/21/2020,113,250,250,9,2130,429,500,1
12/22/2020,111,50000,10000,1,2128,429,60000,1
12/22/2020,111,40000,10000,8,2126,429,50000,1
12/22/2020,113,1000,0,8,2126,429,1000,1
12/22/2020,111,18000,32000,12,2136,429,50000,1
12/23/2020,131,2000,1000,4,2118,0,3000,1
12/24/2020,118,1000,1000,7,2125,429,2000,1
12/24/2020,113,0,500,8,2124,429,500,1
12/24/2020,118,1000,1000,1,2128,429,2000,1
12/25/2020,150,1000,0,8,2124,429,1000,1
12/26/2020,111,200000,150000,9,2130,419,350000,1
12/26/2020,111,10000,1000,12,2132,419,11000,1
12/27/2020,113,0,500,6,2210,429,500,1
12/27/2020,118,300,300,12,2136,429,600,1
12/28/2020,111,15000,5000,8,2124,429,20000,1
12/28/2020,111,300000,50000,11,2134,429,350000,1
12/29/2020,111,125000,25000,8,2126,419,150000,1
12/29/2020,111,0,50000,7,2122,429,50000,1
12/30/2020,118,3000,0,3,2114,400,3000,1
12/31/2020,131,75000,1000,9,2119,963,76000,1
12/31/2020,112,10000,0,3,2129,0,10000,1
12/31/2020,113,1000,1000,12,2131,429,2000,1
12/31/2020,113,1000,1000,12,2132,419,2000,1
12/31/2020,131,10000,2000,7,2124,900,12000,1
12/31/2020,111,2000,1000,11,2134,400,3000,1
07-01-2020,131,2000,11000,3,2111,599,13000,1
07-01-2020,131,1000,0,3,2111,599,1000,1
07-02-2020,113,5000,5000,7,2125,400,10000,1
07-02-2020,111,2000,2000,6,2127,429,4000,1
07-02-2020,111,5000,1000,9,2120,429,6000,1
07-03-2020,111,300000,50000,8,2126,429,350000,1
07-03-2020,111,5000,0,7,2124,429,5000,1
07-03-2020,113,10000,5000,4,2115,439,15000,1
07-03-2020,111,30000,20000,3,2129,459,50000,1
07-04-2020,131,40000,0,7,2119,960,40000,1
07-04-2020,131,30000,300,8,2124,962,30300,1
07-04-2020,113,0,500,6,2127,429,500,1
07-05-2020,131,6000,1000,7,2121,962,7000,1
07-05-2020,111,0,500,9,2130,419,500,1
07-09-2020,131,5000,0,12,2131,962,5000,1
07-09-2020,112,5000,1000,7,2121,429,6000,1
07-11-2020,113,0,1000,3,2113,429,1000,1
07-11-2020,111,20000,0,7,2125,429,20000,1
07-11-2020,160,500,0,7,2122,900,500,1
07/14/2020,111,0,1000,7,2125,460,1000,1
07/15/2020,113,500,0,9,2119,429,500,1
07/15/2020,113,0,500,12,2136,519,500,1
07/16/2020,131,8000,0,8,2126,962,8000,1
07/17/2020,113,1000,1000,6,2127,400,2000,1
07/17/2020,131,7000,0,9,2119,960,7000,1
07/18/2020,131,4000,0,12,2132,900,4000,1
07/19/2020,442,0,5000,6,2210,449,5000,1
07/19/2020,111,1000,0,7,2125,429,1000,1
07/19/2020,111,85000,15000,8,2124,419,100000,1
07/20/2020,112,0,500,12,2131,419,500,1
07/21/2020,131,10000,0,9,2121,962,10000,1
07/21/2020,111,1000,1000,6,2127,429,2000,1
07/21/2020,111,1000,0,7,2121,429,1000,1
07/22/2020,111,20000,0,11,2134,429,20000,1
07/22/2020,131,500,0,1,2128,965,500,1
07/23/2020,131,10000,1000,4,2118,965,11000,1
07/23/2020,111,50000,5000,6,2127,429,55000,1
07/25/2020,154,1000,1000,11,2134,965,2000,1
07/26/2020,111,30000,0,11,2135,429,30000,1
07/26/2020,131,5000,0,8,2122,965,5000,1
07/26/2020,131,5000,200,8,2124,960,5200,1
07/27/2020,131,5000,1000,9,2121,963,6000,1
07/27/2020,111,1000,1000,9,2121,429,2000,1
07/27/2020,131,5000,2000,4,2118,960,7000,1
07/28/2020,111,500000,20000,8,2124,429,520000,1
07/28/2020,111,65000,10000,1,2128,429,75000,1
07/29/2020,111,2000,1000,9,2130,429,3000,1
07/29/2020,111,5000,2000,8,2124,564,7000,1
07/30/2020,111,200000,5000,11,2135,429,205000,1
07/30/2020,111,80000,20000,8,2124,429,100000,1
07/30/2020,111,5000,0,7,2119,429,5000,1
07/31/2020,111,500,0,7,2121,419,500,1
07/31/2020,111,0,10000,4,2118,400,10000,1
07/31/2020,131,10000,1000,8,2124,960,11000,1
11-02-2020,111,0,2000,7,2124,429,2000,1
11-04-2020,113,0,500,4,2118,511,500,1
11-04-2020,111,20000,0,8,2126,429,20000,1
11-05-2020,111,300000,200000,8,2124,519,500000,1
11-05-2020,111,25000,15000,4,2215,429,40000,1
11-05-2020,112,500,0,1,2128,0,500,1
11-05-2020,113,2000,1000,12,2132,429,3000,1
11-07-2020,111,3000,1000,3,2113,429,4000,1
11-07-2020,118,500,100,9,2130,400,600,1
11-08-2020,111,100000,0,7,2119,891,100000,1
11-08-2020,113,1000,0,1,2128,429,1000,1
11-08-2020,111,1000,500,11,2135,400,1500,1
11-08-2020,111,250000,50000,7,2119,429,300000,1
11-10-2020,112,0,5000,12,2130,881,5000,1
11-10-2020,111,1000,0,4,2118,429,1000,1
11-10-2020,111,8000,2000,4,2111,439,10000,1
11-10-2020,111,30000,30000,12,2136,400,60000,1
11-11-2020,131,4000,2000,4,2118,960,6000,1
11-11-2020,112,2000,500,12,2132,549,2500,1
11-11-2020,131,1000,0,8,2124,962,1000,1
11-12-2020,111,50000,20000,11,2134,429,70000,1
11-12-2020,111,500,2000,9,2115,460,2500,1
11/13/2020,131,10000,1000,8,2124,962,11000,1
11/13/2020,131,4000,1000,8,2124,960,5000,1
11/13/2020,111,1000,100,1,2128,460,1100,1
11/13/2020,131,12000,500,11,2135,965,12500,1
11/13/2020,112,0,500,7,2124,429,500,1
11/15/2020,131,8000,0,7,2125,962,8000,1
11/15/2020,113,2000,0,9,2467,519,2000,1
11/15/2020,111,1000,0,11,2135,564,1000,1
11/17/2020,111,15000,5000,1,2128,429,20000,1
11/18/2020,113,100,400,3,2109,400,500,1
11/18/2020,111,1000,1000,6,2127,500,2000,1
11/19/2020,111,9000,0,7,2119,429,9000,1
11/19/2020,111,5000,0,4,2118,439,5000,1
11/20/2020,111,900000,0,7,2122,429,900000,1
11/20/2020,111,50000,0,7,2122,429,50000,1
11/20/2020,111,50000,25000,9,2119,429,75000,1
11/20/2020,111,500,100,1,2128,429,600,1
11/20/2020,131,8000,1000,8,2124,963,9000,1
11/21/2020,111,750000,60000,8,2124,429,810000,1
11/21/2020,111,750000,30000,8,2124,429,780000,1
11/21/2020,131,2000,2000,6,2127,962,4000,1
11/21/2020,162,500,0,11,2135,429,500,1
11/22/2020,111,125000,75000,11,2134,400,200000,1
11/23/2020,162,1000,1000,6,2210,449,2000,1
11/25/2020,162,2000,0,9,2215,331,2000,1
11/25/2020,111,3000,2000,9,2130,429,5000,1
11/25/2020,111,25000,5000,6,2118,888,30000,1
11/27/2020,111,15000,0,8,2124,400,15000,1
11/28/2020,113,0,500,12,2130,419,500,1
10-01-2020,111,300000,50000,8,2124,429,350000,1
10-01-2020,111,0,1000,7,2118,429,1000,1
10-02-2020,111,600000,15000,7,2125,429,615000,1
10-02-2020,112,20000,0,7,2125,429,20000,1
10-02-2020,111,20000,0,7,2125,429,20000,1
10-03-2020,442,0,600,4,2118,419,600,1
10-04-2020,131,4000,200,8,2126,965,4200,1
10-04-2020,131,10000,0,8,2126,965,10000,1
10-04-2020,131,6000,0,8,2126,965,6000,1
10-05-2020,131,15000,0,12,2132,900,15000,1
10-05-2020,131,10000,0,8,2124,900,10000,1
10-08-2020,131,10000,1000,3,2109,922,11000,1
10-08-2020,113,0,500,6,2127,429,500,1
10-09-2020,113,1000,0,3,2111,400,1000,1
10-09-2020,140,500,500,6,2210,926,1000,1
10-11-2020,132,50000,4000,11,2134,961,54000,1
10-11-2020,111,65000,10000,7,2119,429,75000,1
10-12-2020,111,3000,250,9,2120,429,3250,1
10-12-2020,111,20000,20000,7,2125,419,40000,1
10-12-2020,111,5000,2000,11,2134,500,7000,1
10-12-2020,113,2000,2000,11,2135,400,4000,1
10-12-2020,113,1000,0,6,2125,429,1000,1
10-12-2020,131,1000,0,8,2124,900,1000,1
10/13/2020,131,5000,1000,6,2125,961,6000,1
10/13/2020,111,2000,0,9,2121,429,2000,1
10/14/2020,111,1500,1000,9,2121,131,2500,1
10/14/2020,131,3000,100,12,2136,962,3100,1
10/15/2020,111,12000,10000,7,2125,429,22000,1
10/15/2020,113,1000,1000,7,2119,419,2000,1
10/16/2020,113,0,500,4,2118,429,500,1
10/16/2020,113,0,500,4,2118,429,500,1
10/17/2020,113,300,300,4,2116,400,600,1
10/18/2020,111,1000,1000,12,2136,419,2000,1
10/20/2020,131,5000,0,6,2127,900,5000,1
10/20/2020,131,5000,0,6,2127,900,5000,1
10/20/2020,131,5000,0,6,2127,900,5000,1
10/20/2020,131,50000,0,6,2127,960,50000,1
10/21/2020,480,1000,1000,4,2215,900,2000,1
10/21/2020,131,4000,0,7,2122,963,4000,1
10/22/2020,131,40000,5000,7,2121,962,45000,1
10/22/2020,131,5000,0,4,2116,963,5000,1
10/23/2020,131,40000,0,1,2128,579,40000,1
10/24/2020,111,8000,2000,8,2124,419,10000,1
10/24/2020,111,15000,5000,1,2128,800,20000,1
10/25/2020,131,20000,3000,7,2125,962,23000,1
10/26/2020,111,8000,2500,12,2132,429,10500,1
10/27/2020,111,10000,0,9,2119,419,10000,1
10/28/2020,131,3000,1000,7,2122,962,4000,1
10/28/2020,131,5000,100,9,2121,962,5100,1
10/30/2020,130,25000,0,12,2131,900,25000,1
10/31/2020,118,5000,0,3,2114,174,5000,1
09-01-2020,111,10000,0,3,2114,400,10000,1
09-02-2020,113,0,1000,1,2128,429,1000,1
09-04-2020,113,1000,1000,12,2131,419,2000,1
09-05-2020,113,0,500,9,2121,429,500,1
09-05-2020,111,50000,5000,8,2122,429,55000,1
09-05-2020,113,1000,1000,12,2132,419,2000,1
09-05-2020,113,1000,1000,12,2132,500,2000,1
09-06-2020,111,100000,50000,8,2124,419,150000,1
09-06-2020,113,5000,1000,3,2114,429,6000,1
09-06-2020,111,22000,3000,9,2130,429,25000,1
09-07-2020,131,5000,100,1,2128,922,5100,1
09-08-2020,111,5000,0,7,2125,429,5000,1
09-08-2020,111,1500,500,8,2124,419,2000,1
09-08-2020,113,1000,500,7,2121,429,1500,1
09-08-2020,111,75000,0,7,2125,419,75000,1
09-09-2020,131,3000,0,7,2121,963,3000,1
09-10-2020,111,500,0,7,2125,419,500,1
09-10-2020,113,4000,3000,11,2135,400,7000,1
09-11-2020,154,500,0,9,2121,429,500,1
09-12-2020,130,3000,3000,6,2125,882,6000,1
09/13/2020,111,3000,2000,12,2136,419,5000,1
09/13/2020,111,500,500,9,2131,419,1000,1
09/13/2020,553,3000,3000,9,2115,429,6000,1
09/13/2020,113,3000,2000,11,2134,400,5000,1
09/14/2020,151,0,500,4,2116,900,500,1
09/15/2020,113,500,0,8,2124,429,500,1
09/15/2020,113,0,1000,11,2135,429,1000,1
09/15/2020,113,0,1000,11,2134,429,1000,1
09/15/2020,111,0,2000,9,2119,419,2000,1
09/16/2020,116,0,500,3,2114,429,500,1
09/16/2020,111,8000,2500,12,2136,429,10500,1
09/16/2020,111,6000,0,4,2215,429,6000,1
09/16/2020,113,2500,2500,11,2134,429,5000,1
09/16/2020,111,500,0,7,2125,429,500,1
09/17/2020,111,5000,0,8,2124,419,5000,1
09/18/2020,111,300000,50000,8,2124,429,350000,1
09/18/2020,111,50000,25000,8,2124,429,75000,1
09/18/2020,111,20000,0,8,2124,429,20000,1
09/18/2020,111,30000,0,8,2124,429,30000,1
09/18/2020,111,10000,0,8,2124,429,10000,1
09/18/2020,131,10000,0,8,2124,965,10000,1
09/18/2020,131,10000,0,8,2124,965,10000,1
09/18/2020,113,1000,1000,12,2132,419,2000,1
09/18/2020,111,10000,0,11,2134,500,10000,1
09/18/2020,111,0,2000,6,2127,419,2000,1
09/19/2020,142,250,250,9,2119,962,500,1
09/19/2020,160,15000,0,12,2131,900,15000,1
09/19/2020,131,5000,1000,8,2124,900,6000,1
09/20/2020,162,0,5000,4,2215,981,5000,1
09/20/2020,131,6000,0,7,2122,963,6000,1
09/20/2020,113,4000,1000,9,2119,429,5000,1
09/21/2020,111,190000,10000,7,2124,429,200000,1
09/21/2020,111,50000,0,8,2124,419,50000,1
09/21/2020,111,10000,15000,9,2120,429,25000,1
09/22/2020,151,500,0,7,2125,900,500,1
09/22/2020,111,20000,5000,12,2136,429,25000,1
09/22/2020,111,2000,1500,1,2128,429,3500,1
09/23/2020,131,5000,1000,12,2131,960,6000,1
09/24/2020,111,40000,10000,9,2121,429,50000,1
09/24/2020,131,20000,5000,7,2127,900,25000,1
09/24/2020,111,25000,75000,9,2119,419,100000,1
09/25/2020,131,10000,300,9,2121,965,10300,1
09/25/2020,111,500000,0,7,2125,429,500000,1
09/25/2020,113,250,250,9,2121,429,500,1
09/26/2020,111,3000,2000,11,2134,429,5000,1
09/26/2020,111,175000,25000,8,2124,429,200000,1
09/26/2020,111,2500,2500,11,2135,429,5000,1
09/30/2020,142,1000,1000,11,2135,960,2000,1
09/30/2020,162,1000,1000,11,2134,960,2000,1
09/30/2020,111,750000,50000,3,2111,429,800000,1
10-08-2020,700,0,0,6,2127,400,0,0
12/20/2020,553,0,0,7,2122,429,0,0
07/25/2020,511,0,0,6,2110,900,0,0
11-01-2020,743,0,0,4,2116,400,0,0
07-09-2020,715,0,0,9,2119,400,0,0
07/16/2020,113,0,0,9,2119,400,0,0
11/14/2020,714,0,0,9,2121,429,0,0
12-04-2020,715,0,0,7,2122,429,0,0
10-09-2020,500,0,0,12,2136,419,0,0
09/25/2020,411,0,0,4,2118,962,0,0
09/25/2020,511,0,0,3,2113,900,0,0
08-07-2020,641,0,0,9,2130,962,0,0
11/16/2020,714,0,0,6,2125,500,0,0
09-05-2020,500,0,0,3,2110,900,0,0
07-05-2020,745,0,0,6,2127,519,0,0
11-03-2020,743,0,0,4,2215,400,0,0
09/15/2020,553,0,0,7,2119,400,0,0
11/23/2020,113,0,0,8,2126,429,0,0
12/18/2020,445,0,0,9,2115,900,0,0
07/24/2020,554,0,0,6,2127,429,0,0
10-06-2020,745,0,0,6,2127,429,0,0
08/14/2020,553,0,0,1,2128,151,0,0
07/28/2020,553,0,0,7,2119,960,0,0
09/21/2020,736,0,0,6,2127,429,0,0
10-07-2020,553,0,0,8,2126,419,0,0
09-10-2020,714,0,0,3,2111,429,0,0
11/30/2020,621,0,0,12,2131,429,0,0
07-04-2020,743,0,0,7,2125,429,0,0
10/21/2020,714,0,0,7,2122,429,0,0
08/29/2020,622,0,0,4,2116,961,0,0
08-01-2020,113,0,0,11,2135,400,0,0
09-02-2020,553,0,0,9,2121,429,0,0
09/24/2020,743,0,0,7,2119,400,0,0
12-09-2020,611,0,0,3,2108,951,0,0
10-07-2020,553,0,0,8,2124,962,0,0
12-12-2020,413,0,0,1,2128,400,0,0
07-11-2020,552,0,0,8,2124,900,0,0
12/18/2020,600,0,0,3,2114,331,0,0
09-08-2020,733,0,0,12,2132,419,0,0
07/31/2020,552,0,0,3,2113,963,0,0
11/17/2020,553,0,0,9,2215,500,0,0
09-06-2020,743,0,0,7,2125,429,0,0
11/30/2020,600,0,0,8,2124,900,0,0
12-09-2020,441,0,0,8,2126,429,0,0
10/26/2020,714,0,0,7,2125,439,0,0
07/28/2020,553,0,0,7,2125,429,0,0
08-05-2020,735,0,0,4,2118,429,0,0
11/22/2020,511,0,0,8,2124,900,0,0
11-07-2020,553,0,0,3,2113,429,0,0
12/29/2020,113,0,0,4,2215,400,0,0
08/20/2020,745,0,0,7,2125,429,0,0
10-01-2020,500,0,0,4,2116,429,0,0
09-05-2020,553,0,0,4,2115,400,0,0
08-08-2020,743,0,0,12,2132,331,0,0
10-10-2020,142,0,0,11,2134,963,0,0
09/23/2020,553,0,0,12,2136,419,0,0
08-08-2020,715,0,0,12,2136,429,0,0
08/26/2020,554,0,0,4,2116,429,0,0
09/25/2020,735,0,0,12,2136,419,0,0
09/18/2020,711,0,0,8,2124,429,0,0
07-12-2020,113,0,0,7,2122,429,0,0
07-07-2020,743,0,0,7,2122,429,0,0
09-11-2020,413,0,0,1,2128,922,0,0
12-12-2020,652,0,0,12,2131,962,0,0
10/16/2020,522,0,0,8,2124,419,0,0
11-07-2020,511,0,0,11,2135,900,0,0
10/20/2020,745,0,0,4,2118,429,0,0
08-11-2020,621,0,0,3,2114,900,0,0
09-04-2020,745,0,0,8,2126,429,0,0
11/18/2020,735,0,0,12,2131,419,0,0
08/22/2020,552,0,0,6,2119,900,0,0
09/22/2020,744,0,0,9,2130,400,0,0
09/18/2020,652,0,0,4,2215,439,0,0
10/25/2020,551,0,0,12,2132,400,0,0
07-06-2020,700,0,0,4,2118,981,0,0
08/22/2020,151,0,0,6,2118,963,0,0
12/26/2020,743,0,0,7,2125,429,0,0
08/22/2020,733,0,0,3,2111,429,0,0
07-06-2020,735,0,0,6,2127,400,0,0
09/24/2020,113,0,0,4,2116,400,0,0
08-04-2020,813,0,0,12,2132,419,0,0
12-08-2020,745,0,0,8,2126,429,0,0
09/13/2020,553,0,0,9,2130,960,0,0
11-04-2020,551,0,0,1,2128,429,0,0
11/22/2020,113,0,0,3,2109,429,0,0
10/27/2020,714,0,0,4,2116,460,0,0
09-04-2020,553,0,0,6,2118,961,0,0
12-06-2020,113,0,0,11,2163,460,0,0
08/28/2020,522,0,0,11,2135,429,0,0
09/29/2020,600,0,0,7,2122,429,0,0
09/13/2020,113,0,0,1,2128,429,0,0
08-05-2020,553,0,0,8,2126,419,0,0
09/30/2020,651,0,0,7,2122,429,0,0
12/19/2020,550,0,0,7,2119,960,0,0
08/19/2020,715,0,0,8,2124,429,0,0
07-06-2020,746,0,0,7,2119,419,0,0
09-01-2020,600,0,0,4,2116,429,0,0
12-04-2020,711,0,0,9,2119,960,0,0
10/21/2020,553,0,0,8,2124,429,0,0
09/27/2020,710,0,0,11,2135,400,0,0
08-03-2020,743,0,0,6,2127,400,0,0
07/29/2020,733,0,0,9,2130,429,0,0
09-07-2020,150,0,0,9,2119,900,0,0
08-09-2020,600,0,0,4,2116,962,0,0
10-11-2020,700,0,0,3,2113,429,0,0
09-08-2020,413,0,0,12,2136,962,0,0
07/24/2020,714,0,0,3,2129,500,0,0
12/21/2020,553,0,0,4,2118,215,0,0
10/29/2020,600,0,0,8,2122,419,0,0
09/25/2020,113,0,0,11,2135,419,0,0
09/29/2020,554,0,0,11,2135,400,0,0
09-07-2020,553,0,0,12,2136,429,0,0
10/29/2020,743,0,0,9,2130,464,0,0
09/13/2020,113,0,0,4,2116,419,0,0
11-05-2020,553,0,0,8,2126,459,0,0
11/30/2020,553,0,0,6,2125,960,0,0
07/26/2020,714,0,0,7,2121,429,0,0
12/28/2020,651,0,0,6,2127,429,0,0
07/15/2020,745,0,0,8,2126,400,0,0
09/14/2020,745,0,0,9,2115,200,0,0
12/26/2020,553,0,0,4,2118,429,0,0
12/22/2020,743,0,0,1,2128,429,0,0
10/16/2020,745,0,0,11,2135,419,0,0
10/29/2020,553,0,0,1,2128,459,0,0
07/26/2020,733,0,0,7,2119,429,0,0
08/15/2020,553,0,0,8,2124,429,0,0
12/21/2020,745,0,0,11,2134,500,0,0
07-03-2020,500,0,0,11,2135,900,0,0
11-10-2020,744,0,0,6,2210,599,0,0
09/20/2020,735,0,0,12,2132,331,0,0
08-07-2020,413,0,0,9,2130,962,0,0
08-07-2020,412,0,0,7,2121,419,0,0
09-10-2020,745,0,0,8,2124,429,0,0
12-01-2020,553,0,0,4,2118,888,0,0
10-06-2020,740,0,0,4,2118,400,0,0
07-02-2020,553,0,0,3,2111,400,0,0
11/17/2020,113,0,0,8,2122,429,0,0
08-04-2020,113,0,0,11,2134,429,0,0
08/31/2020,714,0,0,3,2108,400,0,0
10/24/2020,553,0,0,7,2119,900,0,0
11/16/2020,600,0,0,11,2135,900,0,0
08-06-2020,715,0,0,9,2130,429,0,0
10-12-2020,745,0,0,3,2111,599,0,0
09-11-2020,735,0,0,6,2127,429,0,0
12-03-2020,711,0,0,12,2131,962,0,0
08/13/2020,743,0,0,4,2116,500,0,0
12/20/2020,511,0,0,8,2124,439,0,0
09/29/2020,600,0,0,4,2118,400,0,0
08-02-2020,553,0,0,8,2126,900,0,0
11/19/2020,553,0,0,3,2129,963,0,0
11/23/2020,600,0,0,4,2215,429,0,0
08/19/2020,714,0,0,4,2215,429,0,0
08/25/2020,741,0,0,3,2114,882,0,0
09/17/2020,735,0,0,6,2127,519,0,0
10-12-2020,113,100,100,1,2128,439,200,0
08-11-2020,522,0,0,8,2124,960,0,0
09/19/2020,113,0,0,4,2116,460,0,0
12/28/2020,113,0,0,4,2118,400,0,0
07-05-2020,500,0,0,12,2132,311,0,0
09/29/2020,553,0,0,12,2136,511,0,0
07-06-2020,745,0,0,9,2120,429,0,0
07/27/2020,553,0,0,6,2127,439,0,0
12-11-2020,553,0,0,9,2119,960,0,0
09-07-2020,714,0,0,8,2124,429,0,0
09/27/2020,743,0,0,7,2125,429,0,0
10-12-2020,745,0,0,3,2110,599,0,0
09-11-2020,611,0,0,6,2118,900,0,0
09/16/2020,551,0,0,3,2110,963,0,0
12-06-2020,553,0,0,9,2130,962,0,0
09-08-2020,522,0,0,11,2134,429,0,0
07-02-2020,745,0,0,4,2215,162,0,0
09/15/2020,600,0,0,6,2118,963,0,0
12-05-2020,553,0,0,4,2118,429,0,0
07-11-2020,553,0,0,9,2119,173,0,0
09-03-2020,553,0,0,7,2124,419,0,0
11/19/2020,714,0,0,9,2130,519,0,0
07/31/2020,553,0,0,12,2132,419,0,0
10-03-2020,743,0,0,7,2125,900,0,0
07/19/2020,744,0,0,4,2118,429,0,0
11/18/2020,553,0,0,9,2121,963,0,0
08-04-2020,553,0,0,7,2118,960,0,0
12/16/2020,736,0,0,4,2116,429,0,0
10/18/2020,113,0,0,8,2124,429,0,0
08/20/2020,714,0,0,8,2126,400,0,0
07-11-2020,553,0,0,8,2126,963,0,0
12/25/2020,400,0,0,8,2126,429,0,0
07/31/2020,733,0,0,3,2111,599,0,0
09/21/2020,553,0,0,4,2215,400,0,0
11-09-2020,745,0,0,8,2124,429,0,0
11-10-2020,745,0,0,4,2116,174,0,0
10/30/2020,553,0,0,4,2115,900,0,0
09-05-2020,740,0,0,6,2127,429,0,0
08/18/2020,733,0,0,8,2124,419,0,0
12/26/2020,151,1,1,12,2130,419,2,0
08-03-2020,745,0,0,4,2116,429,0,0
11/24/2020,735,0,0,9,2119,400,0,0
09/30/2020,522,0,0,6,2127,400,0,0
10-07-2020,551,0,0,6,2127,963,0,0
08-01-2020,733,0,0,4,2115,429,0,0
11/27/2020,745,0,0,3,2109,549,0,0
10/14/2020,735,0,0,7,2122,160,0,0
07-10-2020,553,0,0,4,2116,400,0,0
12-01-2020,113,0,0,7,2121,400,0,0
09/25/2020,151,0,0,4,2215,900,0,0
10/31/2020,552,0,0,4,2118,963,0,0
07/13/2020,743,0,0,8,2126,419,0,0
